iter	Logloss
0	0.606563902
1	0.5213827182
2	0.4593937022
3	0.4043684813
4	0.3544147335
5	0.3164572213
6	0.283540706
7	0.2567427752
8	0.2320829194
9	0.2114461665
10	0.1953152235
11	0.182597942
12	0.1697066829
13	0.1591880726
14	0.1489676578
15	0.1415715907
16	0.135502143
17	0.1302271249
18	0.1251693674
19	0.1208868249
20	0.1176064273
21	0.1145308203
22	0.1115992501
23	0.1085766984
24	0.1059422548
25	0.1040023457
26	0.1022568014
27	0.1000606265
28	0.09782224669
29	0.09625889715
30	0.0947079153
31	0.09331490235
32	0.09203860188
33	0.09079121146
34	0.08911196512
35	0.0879404577
36	0.08670680672
37	0.08528444663
38	0.0842960328
39	0.08320590353
40	0.08236158824
41	0.08156078814
42	0.08086806231
43	0.08027722075
44	0.07963715075
45	0.07828715178
46	0.077447068
47	0.07657365149
48	0.0758450634
49	0.07480360486
50	0.07350621619
51	0.07269885205
52	0.07200255678
53	0.07159375373
54	0.07095899094
55	0.07054012367
56	0.06988618107
57	0.06934685745
58	0.06892288856
59	0.06832813538
60	0.06772614407
61	0.06727402475
62	0.06630180549
63	0.06566107659
64	0.06504686562
65	0.06422605955
66	0.06346365985
67	0.06286306835
68	0.06232749919
69	0.06194510038
70	0.0614228352
71	0.06097456069
72	0.06052282012
73	0.06016271391
74	0.05952792273
75	0.05918032262
76	0.05867451904
77	0.0583243056
78	0.05781640116
79	0.05729785313
80	0.05697226976
81	0.05667552329
82	0.05623382166
83	0.05528258701
84	0.05475811281
85	0.05433319391
86	0.05388681982
87	0.05336785375
88	0.05292285876
89	0.05243411492
90	0.05181131332
91	0.05153649757
92	0.05102225688
93	0.05081413187
94	0.05072752518
95	0.05038073131
96	0.05016752829
97	0.04999666765
98	0.04972632378
99	0.04910202665
100	0.0486454002
101	0.04838405426
102	0.0481246998
103	0.04792873617
104	0.04769072903
105	0.0474499626
106	0.04709874857
107	0.04666584327
108	0.04629682532
109	0.04607941227
110	0.04572707671
111	0.04533575458
112	0.04497590357
113	0.04457591097
